"logFC"	"logCPM"	"F"	"PValue"	"FDR"	"Gene"
"gene-413846"	8.94022765800852	5.4962554549462	64.8058547046463	1.04395300751937e-10	7.04938509245261e-07	"gene-413846"
"gene-76789"	-0.734422864844803	5.66874247758016	62.9673094927702	1.58739800427323e-10	7.04938509245261e-07	"gene-76789"
"gene-306335"	7.18799526834535	7.98659314415551	61.0607677059169	2.4694515309036e-10	7.04938509245261e-07	"gene-306335"
"gene-279912"	-2.53305952187497	6.814349495462	60.7575063315233	2.65114144131351e-10	7.04938509245261e-07	"gene-279912"
"gene-34416"	-2.33472597555776	7.20024621757396	56.8199791315089	6.78695641832906e-10	1.19226711973084e-06	"gene-34416"
"gene-254128"	-0.869457570129661	6.37276035786033	56.4530263062915	7.42149892310341e-10	1.19226711973084e-06	"gene-254128"
"gene-353013"	-2.21573084592616	6.31443644587575	55.9868322757563	8.31766533542453e-10	1.19226711973084e-06	"gene-353013"
"gene-294618"	-0.79609526858878	8.31019573602504	54.7489183201305	1.12860971137444e-09	1.19226711973084e-06	"gene-294618"
"gene-129711"	3.77212882681339	4.34903351555767	54.7274103896012	1.1346465299679e-09	1.19226711973084e-06	"gene-129711"
"gene-137445"	6.77064816090602	3.90384566709644	54.4689762349754	1.20986376716257e-09	1.19226711973084e-06	"gene-137445"
"gene-350792"	7.29275907898139	6.47607904151119	53.9668595069152	1.37118812230202e-09	1.19226711973084e-06	"gene-350792"
"gene-231540"	-1.71008039164774	9.12082900771205	53.7702298329901	1.44031383726424e-09	1.19226711973084e-06	"gene-231540"
"gene-162992"	1.90125579127533	3.84169769318385	53.6456450071642	1.48597711479342e-09	1.19226711973084e-06	"gene-162992"
"gene-73253"	9.19837022229266	8.61245216650824	53.4280780325637	1.56936251186835e-09	1.19226711973084e-06	"gene-73253"
"gene-288834"	7.7888522046804	5.0748776802754	52.1584161938128	2.16326785178333e-09	1.39926060910141e-06	"gene-288834"
"gene-222600"	9.66464607245453	7.04132916583755	52.0586100781717	2.21891958429175e-09	1.39926060910141e-06	"gene-222600"
"gene-132340"	3.07866036605672	7.40761681881857	52.0276184182437	2.23650153767619e-09	1.39926060910141e-06	"gene-132340"
"gene-259467"	-1.06697071379868	6.84267409678288	51.7349989355119	2.40982018582568e-09	1.42393597202455e-06	"gene-259467"
"gene-252927"	3.11072372741802	3.91790227278724	50.9567931900978	2.94207458972162e-09	1.64694238611995e-06	"gene-252927"
"gene-312890"	-2.29040736949739	4.43250175647338	50.300812021983	3.48528478173965e-09	1.73336849091135e-06	"gene-312890"
"gene-215727"	-2.4006873607919	6.32984660092987	49.9125030914473	3.85502430919378e-09	1.73336849091135e-06	"gene-215727"
"gene-16817"	-1.45055289381151	8.93855332139615	49.9072540498656	3.86029262765315e-09	1.73336849091135e-06	"gene-16817"
"gene-19748"	0.790415394146712	5.8877448283471	49.8390999424316	3.92938022642944e-09	1.73336849091135e-06	"gene-19748"
"gene-286708"	1.81673895332696	5.98029629585001	49.7721632971826	3.99848492558612e-09	1.73336849091135e-06	"gene-286708"
"gene-172388"	2.64675474712633	4.8811266800055	49.7000995456049	4.07429600157801e-09	1.73336849091135e-06	"gene-172388"
"gene-140566"	1.04549109487641	5.42210491568374	49.3081546079452	4.51359992989481e-09	1.84640957132158e-06	"gene-140566"
"gene-70225"	4.13094901470265	4.61563556231184	49.0775584185123	4.79479532215743e-09	1.88879418690616e-06	"gene-70225"
"gene-215313"	4.02892188185112	4.23677235521497	48.3417176338321	5.82025465117033e-09	2.12814462003665e-06	"gene-215313"
"gene-17229"	-1.54339767953959	7.28261780771476	48.2790456126204	5.91753047826831e-09	2.12814462003665e-06	"gene-17229"
"gene-232048"	-3.96399381015428	3.13798316532818	48.2250684809952	6.00266440401463e-09	2.12814462003665e-06	"gene-232048"
"gene-347717"	-0.674958140419085	5.00413939821084	48.0347493042189	6.31313401807402e-09	2.16601591665275e-06	"gene-347717"
"gene-330292"	2.32382615765784	2.85657541053063	47.5748035280326	7.13431211172205e-09	2.34381739656612e-06	"gene-330292"
"gene-152989"	-1.79180807322315	7.04770885412942	47.4477407104509	7.38020000730005e-09	2.34381739656612e-06	"gene-152989"
"gene-414380"	3.33608200471507	3.29423216676952	47.2854700992399	7.7070861412364e-09	2.34381739656612e-06	"gene-414380"
"gene-258523"	2.28493809861233	5.08508873962237	47.2826854447086	7.71282520494681e-09	2.34381739656612e-06	"gene-258523"
"gene-103023"	1.41555610188401	7.99762702425324	47.1309082860953	8.03244663141776e-09	2.37314173254887e-06	"gene-103023"
"gene-120763"	8.19167997077154	10.1438237324347	46.7794220140646	8.82659974626878e-09	2.52150607412541e-06	"gene-120763"
"gene-57466"	3.97690275177167	4.47167343828832	46.703434717581	9.00876559014343e-09	2.52150607412541e-06	"gene-57466"
"gene-99805"	6.55432840794275	3.17789883599752	46.3752814221007	9.84147701882796e-09	2.67092263148195e-06	"gene-99805"
"gene-387251"	-0.760726358107857	8.18942655977528	46.2995246761468	1.00448387795485e-08	2.67092263148195e-06	"gene-387251"
"gene-246231"	-0.76333690302577	7.02896407073589	45.7368759774818	1.16987261162247e-08	3.03482075541868e-06	"gene-246231"
"gene-249870"	4.12595537371369	3.85324782162182	45.5802060726071	1.22079097852483e-08	3.09150782085479e-06	"gene-249870"
"gene-259401"	3.70527961177426	3.94920139547182	45.4372167451344	1.26927392097014e-08	3.13953428452056e-06	"gene-259401"
"gene-63617"	-1.64399068811153	7.28472698156267	44.9814274616407	1.43761635688558e-08	3.40838375009006e-06	"gene-63617"
"gene-170302"	3.18991405443049	3.26618511306313	44.9701664772681	1.44205781077522e-08	3.40838375009006e-06	"gene-170302"
"gene-425553"	3.46897632472686	3.04173661075871	44.8761949359276	1.47968181466397e-08	3.42128169147086e-06	"gene-425553"
"gene-8365"	-2.01476811938094	8.35534615990479	44.7695183641265	1.5236317323763e-08	3.44794619267113e-06	"gene-8365"
"gene-335655"	3.64649889397677	4.62801785980867	44.4384154691189	1.66888971018678e-08	3.65091042640411e-06	"gene-335655"
"gene-97398"	3.8956152239216	5.01549353726495	44.410077675845	1.68197264849381e-08	3.65091042640411e-06	"gene-97398"
"gene-247825"	1.18337877853762	5.83267856028844	44.1763359233226	1.79403688565851e-08	3.80306941662392e-06	"gene-247825"
"gene-410057"	-1.86851359637092	7.20719989001774	44.0909414432064	1.8368895268969e-08	3.80306941662392e-06	"gene-410057"
"gene-163088"	2.59975304634543	5.59457014979751	44.0470222434715	1.85934194870669e-08	3.80306941662392e-06	"gene-163088"
"gene-224956"	6.26826565214897	8.37238281211759	43.9200583016169	1.9258666927208e-08	3.86481474410913e-06	"gene-224956"
"gene-294470"	3.73695234427191	3.9722337933229	43.7919566684638	1.99549820278014e-08	3.91762610901115e-06	"gene-294470"
"gene-145538"	2.64637739195312	5.64326596473779	43.6826590550867	2.05697597151566e-08	3.91762610901115e-06	"gene-145538"
"gene-241126"	10.4841968487114	5.43632294170012	45.6325973452847	2.09865049702061e-08	3.91762610901115e-06	"gene-241126"
"gene-246732"	-1.03956797008275	5.34646591403733	43.4840311024627	2.17379092870532e-08	3.91762610901115e-06	"gene-246732"
"gene-341425"	3.43425284037705	4.15919449490665	43.4766839467747	2.17824183749674e-08	3.91762610901115e-06	"gene-341425"
