"logFC"	"logCPM"	"F"	"PValue"	"FDR"	"Gene"
"gene-222600"	14.7190927581111	6.63371368517971	339.436822653613	7.53887774670443e-13	7.27954035221779e-09	"gene-222600"
"gene-222486"	13.8265628194409	4.95549546121176	716.956737693438	6.34422032530492e-11	3.06298957305722e-07	"gene-222486"
"gene-222365"	11.8214187595561	4.31013684846282	144.388659786253	1.03953769550132e-10	3.34592532925359e-07	"gene-222365"
"gene-225709"	11.4058375252559	3.95973597203163	545.496269412685	2.56791160278155e-10	5.09337567997428e-07	"gene-225709"
"gene-224896"	10.2887498303823	3.97630348548539	202.24863054149	2.90597944925576e-10	5.09337567997428e-07	"gene-224896"
"gene-225030"	7.87151807183663	5.60936235725559	113.244266919057	3.16489789559297e-10	5.09337567997428e-07	"gene-225030"
"gene-241055"	9.27761558568614	2.84525558439693	107.458440818084	5.17640403709143e-10	7.14047962602213e-07	"gene-241055"
"gene-240623"	11.7963676396034	3.23738884456393	148.364620884332	6.08156315643947e-10	7.34044672982244e-07	"gene-240623"
"gene-224227"	11.6136493315719	2.95467572527766	146.036935875451	6.88231375810312e-10	7.38395796091596e-07	"gene-224227"
"gene-240910"	12.0609627721928	3.72042479882155	143.755041100695	7.78305152814789e-10	7.5153145555796e-07	"gene-240910"
"gene-225140"	12.3090511583578	3.03562332792999	169.973937749637	1.00501133198891e-09	8.73519056053005e-07	"gene-225140"
"gene-431701"	8.20689667263278	3.18569557693066	168.13508197744	1.08556634969305e-09	8.73519056053005e-07	"gene-431701"
"gene-430068"	11.0599782264009	4.33153007711417	98.057954077819	1.20943939676723e-09	8.98334370398798e-07	"gene-430068"
"gene-241126"	12.4832798480348	4.81316729846358	241.938387898048	1.68807241471485e-09	1.16428765974904e-06	"gene-241126"
"gene-222383"	12.2905259117505	4.8717401673674	98.5175082788956	2.96586556147615e-09	1.90922652410758e-06	"gene-222383"
"gene-224357"	10.2452332316601	4.51802044536904	115.891911909403	4.10058218598697e-09	2.47470134924313e-06	"gene-224357"
"gene-222350"	10.2403939714445	2.1703789233757	308.257809563027	4.64890594070423e-09	2.64057857432e-06	"gene-222350"
"gene-224968"	10.1431649720482	2.72825155800572	122.555535430464	9.8953062671248e-09	5.30828207307539e-06	"gene-224968"
"gene-224743"	9.97880344022032	1.75991791656628	236.71662626813	1.74842755106814e-08	8.88569285953368e-06	"gene-224743"
"gene-224782"	7.19836360066556	2.89589542776873	71.9061499393777	1.92909775968432e-08	9.3136839837559e-06	"gene-224782"
"gene-222531"	9.7485241251006	3.48491387331369	107.207789781449	2.46916312752452e-08	1.13534472187509e-05	"gene-222531"
"gene-222519"	10.5698689895968	2.58615845731504	103.797465361143	3.07322747118436e-08	1.34886747553437e-05	"gene-222519"
"gene-240929"	11.6191122197711	3.56092268944964	143.889731722408	3.49439279260165e-08	1.46703725240702e-05	"gene-240929"
"gene-430263"	9.64774975581147	2.3934701898838	96.5895322096425	4.98713303146355e-08	2.0064898563255e-05	"gene-430263"
"gene-240691"	8.55568974360039	3.63860290196003	77.012294984719	8.45877800475876e-08	3.26711841655802e-05	"gene-240691"
"gene-222332"	10.7545295207875	5.75070292999887	87.3953999999682	9.70133981992064e-08	3.60292835773668e-05	"gene-222332"
"gene-225173"	7.90766689311197	2.13581806534139	86.725275420636	1.02071907340029e-07	3.65039384176045e-05	"gene-225173"
"gene-225236"	6.70943157284675	1.99192249053851	58.5850257079788	1.08639514525354e-07	3.74651125806008e-05	"gene-225236"
"gene-322912"	10.3893599500246	1.45005355883956	85.3753171859522	1.13194028864875e-07	3.76897083696289e-05	"gene-322912"
"gene-390956"	8.41639085844985	5.07948225265964	57.4896162168727	1.26829879600485e-07	4.08223105807427e-05	"gene-390956"
"gene-222555"	8.48064677204064	0.795639110008075	153.893856140482	1.47055642630371e-07	4.58054608141569e-05	"gene-222555"
"gene-224682"	8.31795856501848	2.49063718519191	80.7433943964072	1.63195508093844e-07	4.92442445673173e-05	"gene-224682"
"gene-224875"	14.2645837029807	10.2498294587278	53.9821063510105	2.11357384087672e-07	6.18444515378958e-05	"gene-224875"
"gene-323148"	9.33243109556816	3.42629568329537	55.9081733990424	2.88565240534087e-07	8.19525283116808e-05	"gene-323148"
"gene-224201"	11.4345715490347	2.69080118629772	130.004864810099	3.34198574356172e-07	9.220061239952e-05	"gene-224201"
"gene-225720"	7.76329760733419	2.04894643985392	71.4947767433788	3.58565276415018e-07	9.61751752517616e-05	"gene-225720"
"gene-225107"	7.98963345988274	0.882459057776818	113.594006912443	6.40186987980659e-07	0.000167071501511926	"gene-225107"
"gene-428738"	10.8561937452289	5.63574974530271	48.8514221352764	7.89183737144874e-07	0.000200535741207129	"gene-428738"
"gene-430080"	8.4717163534882	1.61762877560621	61.0894203349553	9.69149720165289e-07	0.000239951530715796	"gene-430080"
"gene-430032"	14.0246563670645	4.87939950777412	75.5947436591412	1.26311827212133e-06	0.000304916750890089	"gene-430032"
"gene-430314"	8.6675253655157	0.638657899453072	94.7587906287143	1.51687255113997e-06	0.000357241984239209	"gene-430314"
"gene-326849"	13.8811980784113	4.63085129625277	93.8482130959592	1.58759494292123e-06	0.00036499563735351	"gene-326849"
"gene-224956"	7.02797832524297	8.27370572350308	41.212264720878	1.7033183524274e-06	0.00038249400025672	"gene-224956"
"gene-225738"	7.23656543227142	-0.0989370900158683	69.7961883349191	1.93627961384945e-06	0.000424925362530234	"gene-225738"
"gene-241001"	10.4529796343952	2.70982912209482	88.1935884318246	2.12661228471415e-06	0.000456323738248885	"gene-241001"
"gene-224697"	11.1359017498429	9.43539780665546	39.7889467734882	2.20662103795825e-06	0.000463198537880976	"gene-224697"
"gene-226245"	4.0793459592611	2.46897460355563	39.4081484995276	2.367330302651e-06	0.000486360455370171	"gene-226245"
"gene-90157"	9.87203847362867	4.86174293800394	41.5430451600833	2.51578119652003e-06	0.000506091317366612	"gene-90157"
"gene-120952"	2.79996416938163	4.40097833823737	38.1824534199079	2.97760921428687e-06	0.000586771317819469	"gene-120952"
"gene-224593"	10.1139478587107	1.38614277039637	81.0662073038557	3.15220699199534e-06	0.00060875421429414	"gene-224593"
"gene-421566"	-1.43724816618658	3.49841110228278	37.1520196615545	3.6243912795764e-06	0.000686218082266465	"gene-421566"
"gene-240833"	10.4488308104837	5.17446175273952	48.6862921859165	3.86371198755604e-06	0.000717461595227714	"gene-240833"
"gene-322927"	7.24098683213271	2.09610919447577	35.2936122568617	5.21362409554876e-06	0.000949863288049411	"gene-322927"
"gene-224860"	9.42452199268801	11.1405666651685	34.1476363029865	6.56394550937517e-06	0.00117373070071346	"gene-224860"
"gene-428765"	12.5153361023891	3.75970129594497	67.6420655371333	7.25545058987627e-06	0.00127379328901537	"gene-428765"
"gene-225325"	5.96422612207951	2.55872596853064	32.6606414731378	8.91550616122253e-06	0.00153728799094223	"gene-225325"
"gene-220028"	2.4831756001044	2.48034137439473	32.3869628601204	9.44122232129493e-06	0.00159937618832323	"gene-220028"
"gene-222344"	8.3460204324479	0.206103070089098	61.4483877070682	1.12095340309823e-05	0.00186619414833043	"gene-222344"
"gene-390616"	7.15273377446981	3.52804683449619	36.3571211314072	1.22888795848807e-05	0.00201121053002725	"gene-390616"
"gene-391222"	11.8755171697287	2.70135656461765	55.4159054218749	1.77914742236068e-05	0.00286324125171912	"gene-391222"
"gene-84970"	5.19038968046624	-0.0561887935785109	29.2738570063805	1.85167985169368e-05	0.00293111813900888	"gene-84970"
"gene-240871"	10.5626637465978	4.87173193832738	43.5113937335426	2.18558049980069e-05	0.00340386537194766	"gene-240871"
"gene-323803"	1.94007339408883	6.63130087309159	26.7956684819361	3.26567913613967e-05	0.00500530122834359	"gene-323803"
"gene-323919"	-1.5766567672098	5.39460267505326	26.3023350659489	3.66931485829165e-05	0.00553607879244753	"gene-323919"
"gene-225635"	4.35630315087713	0.246045015248587	25.8578908410984	4.07987422589278e-05	0.00606081008080318	"gene-225635"
"gene-237881"	1.96746498723952	2.39227250130886	24.602042908	5.53693620790059e-05	0.00810070545810426	"gene-237881"
"gene-326873"	11.214639330091	2.2323381501883	39.386845421546	7.77920922197219e-05	0.0112113498876662	"gene-326873"
"gene-403809"	9.28831214560034	7.88046649482771	23.0535391949083	8.16728278880057e-05	0.0115026057483523	"gene-403809"
"gene-80359"	5.51689433262879	3.31942242015322	23.0285831560809	8.21955050369005e-05	0.0115026057483523	"gene-80359"
"gene-81427"	8.6226565226994	4.45265678677803	22.461914335197	9.51037570263097e-05	0.0131188839692292	"gene-81427"
"gene-326439"	-5.77113830349685	6.66453993355087	19.5875706257929	0.000205752536360383	0.0279823449450121	"gene-326439"
"gene-218529"	-2.9671374697049	4.7930945996882	19.0636439173947	0.000238287068182731	0.0319569434773952	"gene-218529"
"gene-298022"	-2.03021063642394	5.39516564544246	18.1498286522356	0.000309333317830884	0.0409039182172328	"gene-298022"
"gene-368072"	1.24804917502322	3.55738792531175	18.1038722444395	0.000313472446983764	0.0409039182172328	"gene-368072"
"gene-391282"	-10.8468086869168	3.2011904440793	18.256720947006	0.000358211051586606	0.0461184788549369	"gene-391282"
