"logFC"	"logCPM"	"F"	"PValue"	"FDR"	"Gene"
"gene-89234"	2.22158851211094	2.8270739923414	82.5690347830069	2.49722896788507e-12	2.65605273024256e-08	"gene-89234"
"gene-237881"	2.52708468415608	2.86872115611562	73.6227639597545	1.5301032194317e-11	8.1370889209378e-08	"gene-237881"
"gene-90157"	10.1589795637834	5.34233891903714	59.7640261242836	3.34995440155681e-10	1.18767050049861e-06	"gene-90157"
"gene-430263"	10.1757248582546	3.01320303074942	59.2305461188579	8.18892623330054e-10	2.17743548543461e-06	"gene-430263"
"gene-120952"	2.58970951419402	5.00847629332133	54.9607536670964	1.07090469403599e-09	2.27802846515335e-06	"gene-120952"
"gene-219019"	2.26496272958876	1.57145619498892	53.6737798173773	1.47553520888709e-09	2.46381900440587e-06	"gene-219019"
"gene-225720"	9.26098744200464	2.52149555284312	52.7254357453235	1.87346586557288e-09	2.46381900440587e-06	"gene-225720"
"gene-224875"	13.1668300026466	10.9820207698893	52.5435310046678	1.96176423928534e-09	2.46381900440587e-06	"gene-224875"
"gene-225030"	8.77123219830731	6.36632865731678	52.3036912386144	2.08484120342731e-09	2.46381900440587e-06	"gene-225030"
"gene-222332"	12.4100210167353	6.44227896759804	51.1457375623443	2.8025204342677e-09	2.95523660276704e-06	"gene-222332"
"gene-395080"	11.5279612917543	3.68222224064562	54.5732407580672	3.05637482422315e-09	2.95523660276704e-06	"gene-395080"
"gene-225236"	8.82695320839436	2.74743589835888	50.3609929728161	3.43136704332111e-09	3.04133498939694e-06	"gene-225236"
"gene-240623"	9.96957264254475	3.72751499234777	49.8281177738569	3.94063244313412e-09	3.22404358962881e-06	"gene-240623"
"gene-224697"	11.1497384758416	9.70547538243951	49.1189074696441	4.74306486751997e-09	3.60337413792446e-06	"gene-224697"
"gene-225140"	11.6735243948304	4.01972328117184	50.7389298501222	5.87639224099391e-09	4.16675385834742e-06	"gene-225140"
"gene-241055"	9.44290531650271	3.69236461410818	47.1463719759464	7.99926169370842e-09	4.98087650295158e-06	"gene-241055"
"gene-224593"	11.373673044206	2.11339259305286	53.9270326151637	8.31848738663608e-09	4.98087650295158e-06	"gene-224593"
"gene-220249"	6.1164418192811	3.15852535297632	46.8506062113859	8.65941972475072e-09	4.98087650295158e-06	"gene-220249"
"gene-240833"	10.9842982590536	5.47007232150818	46.7495434158728	8.89776735201957e-09	4.98087650295158e-06	"gene-240833"
"gene-395143"	9.73396193427122	3.44742377012916	55.6353870474082	9.65962218878472e-09	5.13698707999571e-06	"gene-395143"
"gene-224956"	9.16437179458159	8.37238281211759	45.3669176670118	1.29383955613112e-08	6.55298929476695e-06	"gene-224956"
"gene-222486"	11.8603447510692	5.30254890436365	44.7907107413743	1.5147938953833e-08	7.09716236947883e-06	"gene-222486"
"gene-224357"	11.1389901660881	5.2073910234951	44.7430668750295	1.53473800769098e-08	7.09716236947883e-06	"gene-224357"
"gene-222600"	11.9777353374603	7.04132916583755	43.5622891577247	2.12696449093051e-08	9.42599763564037e-06	"gene-222600"
"gene-428738"	11.3352145572861	6.4616082848027	43.0785094659692	2.43419382968806e-08	1.03560342290249e-05	"gene-428738"
"gene-224782"	9.17637339028438	3.49594755055853	42.6611448064338	2.73625436015205e-08	1.11933851440682e-05	"gene-224782"
"gene-225325"	6.32804759829016	3.35201675647693	42.1656679997585	3.14608194729669e-08	1.23932324412769e-05	"gene-225325"
"gene-222383"	10.7614825585664	5.33250942977472	41.8395760145598	3.45019946674912e-08	1.31058291172656e-05	"gene-222383"
"gene-224227"	9.81080964460683	3.54771039345853	41.5824652042164	3.71145246670357e-08	1.35784131806994e-05	"gene-224227"
"gene-224968"	11.1977714262409	3.52789960956353	43.9590154884118	3.94335277538043e-08	1.35784131806994e-05	"gene-224968"
"gene-240910"	12.8462528129098	4.31466299448898	43.9449081501686	3.95760444341559e-08	1.35784131806994e-05	"gene-240910"
"gene-220028"	2.32516926470356	3.51282073909284	40.822191778983	4.61121395747392e-08	1.53265223911539e-05	"gene-220028"
"gene-225629"	8.48406879267204	3.05276874276712	40.3837000337432	5.23064291887614e-08	1.64133549957303e-05	"gene-225629"
"gene-224682"	11.3476298396866	3.04203974857567	42.8494451042403	5.24684157441546e-08	1.64133549957303e-05	"gene-224682"
"gene-224369"	5.78774361484809	0.371470217432963	39.8577997395301	6.0892931142938e-08	1.85044918753225e-05	"gene-224369"
"gene-326849"	11.6665741947764	4.24465190185676	39.6471010636666	6.47329455605796e-08	1.87254880955312e-05	"gene-326849"
"gene-127740"	-0.878400065166864	5.04810213105231	39.6254623918872	6.51413181209718e-08	1.87254880955312e-05	"gene-127740"
"gene-222365"	11.7082841892124	4.65792895387201	40.3281886160168	8.53373078786694e-08	2.33363797236124e-05	"gene-222365"
"gene-224896"	13.1827638822717	4.56040307022675	43.5170888749126	8.55696511114031e-08	2.33363797236124e-05	"gene-224896"
"gene-371957"	-3.9217089461713	-1.17056603244684	38.1518089135075	1.00338720676091e-07	2.66800658277725e-05	"gene-371957"
"gene-392290"	11.6271405225972	7.18651355548269	37.7293228093433	1.13723635828564e-07	2.89327348007371e-05	"gene-392290"
"gene-288660"	-0.943701418952203	6.58013164799724	37.7137496839338	1.142511152342e-07	2.89327348007371e-05	"gene-288660"
"gene-431701"	9.22606652616861	3.58044402495365	37.4458171180474	1.23735639655753e-07	3.06058665901998e-05	"gene-431701"
"gene-227308"	2.28907097393957	4.38986834975736	37.1877253165775	1.33647431361218e-07	3.23062290899526e-05	"gene-227308"
