"","GO.ID","Term","Annotated","Significant","Expected","classicFisher"
"1","GO:0009142","nucleoside triphosphate biosynthetic pro...",43,3,0.28,"0.0025"
"2","GO:0007289","spermatid nucleus differentiation",14,2,0.09,"0.0035"
"3","GO:0046034","ATP metabolic process",111,4,0.71,"0.0052"
"4","GO:0009167","purine ribonucleoside monophosphate meta...",113,4,0.72,"0.0056"
"5","GO:0072525","pyridine-containing compound biosyntheti...",18,2,0.12,"0.0057"
"6","GO:0070935","3'-UTR-mediated mRNA stabilization",1,1,0.01,"0.0064"
"7","GO:0060287","epithelial cilium movement involved in d...",1,1,0.01,"0.0064"
"8","GO:0006165","nucleoside diphosphate phosphorylation",21,2,0.13,"0.0078"
"9","GO:0060271","cilium assembly",73,3,0.47,"0.0110"
"10","GO:0097722","sperm motility",26,2,0.17,"0.0118"
"11","GO:0030317","flagellated sperm motility",26,2,0.17,"0.0118"
"12","GO:0044782","cilium organization",76,3,0.49,"0.0123"
"13","GO:0060294","cilium movement involved in cell motilit...",27,2,0.17,"0.0126"
"14","GO:0045727","positive regulation of translation",27,2,0.17,"0.0126"
"15","GO:0048490","anterograde synaptic vesicle transport",2,1,0.01,"0.0128"
"16","GO:0048491","retrograde synaptic vesicle transport",2,1,0.01,"0.0128"
"17","GO:0006735","NADH regeneration",2,1,0.01,"0.0128"
"18","GO:0008315","G2/MI transition of meiotic cell cycle",2,1,0.01,"0.0128"
"19","GO:0042822","pyridoxal phosphate metabolic process",2,1,0.01,"0.0128"
"20","GO:0042823","pyridoxal phosphate biosynthetic process",2,1,0.01,"0.0128"
"21","GO:0042819","vitamin B6 biosynthetic process",2,1,0.01,"0.0128"
"22","GO:0046341","CDP-diacylglycerol metabolic process",2,1,0.01,"0.0128"
"23","GO:0016024","CDP-diacylglycerol biosynthetic process",2,1,0.01,"0.0128"
"24","GO:0061718","glucose catabolic process to pyruvate",2,1,0.01,"0.0128"
"25","GO:0061620","glycolytic process through glucose-6-pho...",2,1,0.01,"0.0128"
"26","GO:0061621","canonical glycolysis",2,1,0.01,"0.0128"
"27","GO:0001539","cilium or flagellum-dependent cell motil...",32,2,0.2,"0.0175"
"28","GO:0060285","cilium-dependent cell motility",32,2,0.2,"0.0175"
"29","GO:0010868","negative regulation of triglyceride bios...",3,1,0.02,"0.0191"
"30","GO:0042816","vitamin B6 metabolic process",3,1,0.02,"0.0191"
"31","GO:0009092","homoserine metabolic process",3,1,0.02,"0.0191"
"32","GO:0099514","synaptic vesicle cytoskeletal transport",3,1,0.02,"0.0191"
"33","GO:0099517","synaptic vesicle transport along microtu...",3,1,0.02,"0.0191"
"34","GO:0044771","meiotic cell cycle phase transition",3,1,0.02,"0.0191"
"35","GO:0031991","regulation of actomyosin contractile rin...",3,1,0.02,"0.0191"
"36","GO:0051055","negative regulation of lipid biosyntheti...",3,1,0.02,"0.0191"
"37","GO:0006007","glucose catabolic process",3,1,0.02,"0.0191"
"38","GO:0010511","regulation of phosphatidylinositol biosy...",3,1,0.02,"0.0191"
"39","GO:0010513","positive regulation of phosphatidylinosi...",3,1,0.02,"0.0191"
"40","GO:0019343","cysteine biosynthetic process via cystat...",3,1,0.02,"0.0191"
"41","GO:0019344","cysteine biosynthetic process",3,1,0.02,"0.0191"
"42","GO:0019346","transsulfuration",3,1,0.02,"0.0191"
"43","GO:0071073","positive regulation of phospholipid bios...",3,1,0.02,"0.0191"
"44","GO:0061615","glycolytic process through fructose-6-ph...",3,1,0.02,"0.0191"
"45","GO:0071266","'de novo' L-methionine biosynthetic proc...",3,1,0.02,"0.0191"
"46","GO:1903727","positive regulation of phospholipid meta...",3,1,0.02,"0.0191"
"47","GO:0046184","aldehyde biosynthetic process",3,1,0.02,"0.0191"
